AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALF,TOTALR,TOTALC,ONE,ONEF,ONER,ONEC,TWO,TWOF,TWOR,TWOC
460708000,4608000,46,7,8,0,Division No.  8,"1,445",836,"144,000","553,846",950,721,"116,867","455,520",490,"1,056","196,178","742,933"
460708031,4608031,46,7,8,31,South Norfolk,210,751,"147,433","617,445",140,600,"97,403","443,047",75,"1,024","237,620","931,821"
460708042,4608042,46,7,8,42,Victoria,155,881,"145,022","656,194",90,676,"83,925","513,745",65,"1,144","223,445","839,038"
460708045,4608045,46,7,8,45,North Norfolk,395,678,"134,737","508,034",275,607,"116,237","437,629",115,846,"178,854","675,924"
460708054,4608054,46,7,8,54,Lansdowne,160,939,"140,466","536,540",95,862,"136,193","522,012",60,"1,067","147,446","560,269"
460708059,4608059,46,7,8,59,Westbourne,330,933,"184,614","621,413",220,823,"162,145","501,393",105,"1,162","231,670","872,776"
460708066,4608066,46,7,8,66,Lakeview,80,"1,014","102,311","377,537",60,910,"80,571","350,198",25,"1,255","152,749","440,963"
460708072,4608072,46,7,8,72,Glenella,115,927,"86,280","413,502",70,787,"57,373","328,402",40,"1,157","133,338","552,037"
460709000,4609000,46,7,9,0,Division No.  9,825,743,"196,440","753,082",540,597,"139,733","580,840",285,"1,020","303,685","1,078,831"
460709017,4609017,46,7,9,17,Grey,285,736,"162,901","711,506",170,544,"94,183","496,582",120,"1,011","261,070","1,018,541"
460709024,4609024,46,7,9,24,Portage la Prairie,535,747,"214,557","775,540",370,622,"160,719","619,658",170,"1,027","334,235","1,122,050"
460710000,4610000,46,7,10,0,Division No. 10,525,845,"227,099","919,989",315,640,"141,704","665,063",205,"1,158","357,244","1,308,507"
460710035,4610035,46,7,10,35,Macdonald,360,795,"187,021","836,862",220,623,"132,710","634,466",140,"1,071","273,840","1,160,399"
460710043,4610043,46,7,10,43,Cartier,115,"1,048","355,232","1,221,320",75,735,"187,277","811,745",45,"1,537","618,117","1,862,394"
460710052,4610052,46,7,10,52,St. Francois Xavier,50,722,"210,390","803,053",30,519,"91,256","516,583",25,933,"334,290","1,100,982"
460800000,4600000,46,8,0,0,Agricultural Region  8 - Région agricole  8,"3,445",675,"154,496","653,410","2,250",583,"124,953","547,613","1,200",847,"209,885","851,769"
460803000,4603000,46,8,3,0,Division No.  3,"2,130",605,"161,893","678,240","1,380",519,"132,742","561,176",750,764,"215,427","893,221"
460803030,4603030,46,8,3,30,Montcalm,145,937,"207,860","1,006,281",75,782,"144,563","693,725",70,"1,092","271,157","1,318,837"
460803036,4603036,46,8,3,36,Rhineland,495,489,"156,913","655,551",300,400,"129,229","544,560",190,627,"200,090","828,650"
460803047,4603047,46,8,3,47,Stanley,500,420,"139,839","556,437",360,404,"132,271","515,564",145,460,"159,130","660,635"
460803058,4603058,46,8,3,58,Thompson,160,708,"174,341","686,762",110,600,"141,588","516,809",50,947,"246,397","1,060,659"
460803062,4603062,46,8,3,62,Roland,145,744,"172,123","817,148",100,673,"161,234","744,386",50,890,"194,808","968,737"
460803065,4603065,46,8,3,65,Morris,330,779,"196,555","808,820",195,666,"160,185","676,929",130,949,"251,526","1,008,165"
460803072,4603072,46,8,3,72,Dufferin,350,628,"138,644","561,567",235,537,"95,017","456,705",115,815,"228,958","778,651"
460804000,4604000,46,8,4,0,Division No.  4,"1,315",789,"142,488","613,103",865,686,"112,547","526,008",445,987,"200,562","782,033"
460804033,4604033,46,8,4,33,Pembina,320,779,"147,697","630,867",225,750,"133,615","590,885",95,851,"181,404","726,569"
460804039,4604039,46,8,4,39,Louise,260,855,"142,228","661,144",170,696,"109,470","541,697",85,"1,164","206,254","894,609"
460804051,4604051,46,8,4,51,Roblin,195,803,"128,243","481,831",140,678,"96,809","385,170",55,"1,139","213,056","742,633"
460804057,4604057,46,8,4,57,Argyle,210,844,"121,525","482,346",125,692,"72,557","380,734",90,"1,049","187,712","619,688"
460804063,4604063,46,8,4,63,Lorne,325,700,"159,977","722,500",205,610,"127,047","627,538",120,851,"215,497","882,600"
460900000,4600000,46,9,0,0,Agricultural Region  9 - Région agricole  9,"3,005",396,"142,754","508,983","1,840",329,"113,763","409,560","1,165",501,"188,334","665,305"
460902000,4602000,46,9,2,0,Division No.  2,"1,940",419,"174,858","569,316","1,090",343,"148,140","456,605",850,517,"209,183","714,115"
460902025,4602025,46,9,2,25,Franklin,250,709,"100,108","519,468",150,600,"65,271","394,362",95,886,"156,579","722,273"
460902032,4602032,46,9,2,32,De Salaberry,220,632,"242,528","771,424",125,542,"231,207","641,923",90,754,"257,743","945,485"
460902041,4602041,46,9,2,41,Hanover,640,292,"210,948","555,557",355,208,"189,124","439,698",290,396,"237,962","698,964"
460902053,4602053,46,9,2,53,La Broquerie,170,397,"158,812","548,623",85,301,"174,785","483,144",90,489,"143,746","610,382"
460902057,4602057,46,9,2,57,Ste. Anne,225,302,"159,042","489,945",115,237,"109,371","348,132",110,370,"211,446","639,565"
460902069,4602069,46,9,2,69,Tache,265,355,"123,831","474,047",145,303,"90,574","375,067",115,420,"164,914","596,317"
460902075,4602075,46,9,2,75,Ritchot,175,478,"178,441","706,191",115,386,"135,677","585,233",60,652,"259,692","936,010"
460911000,4611000,46,9,11,0,Division No. 11,185,256,"118,607","435,338",120,225,"118,377","352,977",60,319,"119,079","604,179"
460911040,4611040,46,9,11,40,Winnipeg,130,169,"122,957","351,131",95,203,"135,377","310,942",40,90,"94,700","442,561"
460911042,4611042,46,9,11,42,Headingley,55,476,"107,648","647,476",35,288,"70,031","472,515",20,777,"167,837","927,414"
460912000,4612000,46,9,12,0,Division No. 12,880,373,"77,075","391,423",620,324,"52,597","338,270",260,490,"135,955","519,278"
460912047,4612047,46,9,12,47,Springfield,520,358,"92,730","431,989",370,311,"58,543","385,417",150,476,"177,855","547,950"
460912052,4612052,46,9,12,52,Brokenhead,360,394,"54,587","333,153",250,343,"43,843","268,860",110,509,"79,200","480,441"
461000000,4600000,46,10,0,0,Agricultural Region 10 - Région agricole 10,795,565,"61,625","325,835",525,567,"54,042","299,563",265,562,"76,592","377,690"
461001000,4601000,46,10,1,0,Division No.  1,795,565,"61,625","325,835",525,567,"54,042","299,563",270,562,"76,592","377,690"
461001035,4601035,46,10,1,35,Stuartburn,225,612,"38,365","271,860",135,626,"33,795","268,352",90,591,"45,095","277,026"
461001039,4601039,46,10,1,39,Piney,125,511,"31,630","234,056",90,494,"21,785","213,038",40,548,"52,798","279,243"
461001043,4601043,46,10,1,43,Reynolds,80,406,"76,709","341,229",55,412,"88,845","350,473",25,389,"43,191","315,699"
461001046,4601046,46,10,1,46,Whitemouth,155,400,"117,169","450,466",95,387,"111,084","420,967",60,420,"126,803","497,174"
461001057,4601057,46,10,1,57,Lac du Bonnet,125,874,"75,696","393,065",95,870,"49,836","316,869",30,884,"154,945","626,571"
461001071,4601071,46,10,1,71,Alexander,85,515,"30,772","262,017",60,492,"27,762","223,172",25,570,"38,171","357,510"
461100000,4600000,46,11,0,0,Agricultural Region 11 - Région agricole 11,"1,590",562,"101,352","505,467","1,055",511,"84,177","429,794",535,664,"135,413","655,535"
461113000,4613000,46,11,13,0,Division No. 13,640,443,"71,554","452,681",450,378,"50,205","363,704",190,594,"121,477","660,759"
461113032,4613032,46,11,13,32,East St. Paul,30,194,"80,945","673,221",25,139,"56,830","444,872",5,471,"201,516","1,814,965"
461113037,4613037,46,11,13,37,West St. Paul,30,533,"82,793","521,560",30,271,"24,226","258,638",5,"1,671","336,583","1,660,885"
461113043,4613043,46,11,13,43,St. Andrews,310,457,"80,722","461,808",210,369,"56,529","375,553",100,640,"131,022","641,149"
461113056,4613056,46,11,13,56,St. Clements,270,443,"58,521","409,179",190,435,"45,853","354,204",80,462,"88,291","538,369"
461114000,4614000,46,11,14,0,Division No. 14,950,643,"121,479","541,121",605,610,"109,264","478,600",340,703,"143,259","652,594"
461114015,4614015,46,11,14,15,Rosser,135,781,"142,652","772,234",90,719,"127,051","673,201",45,894,"171,199","953,441"
461114031,4614031,46,11,14,31,Woodlands,310,814,"110,737","568,407",195,799,"86,559","481,313",115,838,"151,381","714,815"
461114036,4614036,46,11,14,36,Rockwood,505,502,"122,519","463,449",330,468,"118,126","425,803",180,564,"130,589","532,608"
461200000,4600000,46,12,0,0,Agricultural Region 12 - Région agricole 12,"2,110","1,013","67,125","359,821","1,370",821,"51,310","286,577",735,"1,371","96,584","496,258"
461218000,4618000,46,12,18,0,Division No. 18,"1,795",963,"70,612","360,976","1,160",773,"54,082","285,660",630,"1,310","100,955","499,232"
461218031,4618031,46,12,18,31,Gimli,85,488,"36,484","256,394",60,333,"24,263","202,138",20,912,"69,812","404,365"
461218037,4618037,46,12,18,37,Armstrong,300,940,"65,408","316,345",185,800,"75,611","295,881",105,"1,183","47,810","351,640"
461218040,4618040,46,12,18,40,St. Laurent,65,866,"43,053","290,755",40,766,"40,214","251,266",25,"1,012","47,154","347,795"
461218044,4618044,46,12,18,44,Coldwell,150,"1,217","55,805","367,532",85,948,"39,048","268,223",65,"1,578","78,321","500,977"
461218052,4618052,46,12,18,52,Eriksdale,125,997,"52,199","321,867",75,794,"35,760","264,515",50,"1,301","76,857","407,895"
461218057,4618057,46,12,18,57,Siglunes,155,"1,275","52,546","368,591",105,"1,048","42,264","294,134",50,"1,802","76,391","541,268"
461218060,4618060,46,12,18,60,Grahamdale,230,"1,332","53,497","384,482",130,"1,047","41,322","309,739",100,"1,704","69,361","481,874"
461218068,4618068,46,12,18,68,Fisher,295,966,"90,904","410,725",210,819,"56,470","299,127",85,"1,331","176,379","687,752"
461218071,4618071,46,12,18,71,Bifrost,395,647,"99,471","384,008",265,509,"66,837","288,097",130,928,"165,994","579,518"
461219000,4619000,46,12,19,0,Division No. 19,165,"1,720","40,325","344,145",115,"1,328","27,983","254,631",50,"2,623","68,711","550,028"
461219045,4619045,46,12,19,45,"Division No. 19, Unorganized",165,"1,720","40,325","344,145",115,"1,328","27,983","254,631",50,"2,623","68,711","550,028"
461221000,4621000,46,12,21,0,Division No. 21,150,840,"54,627","363,322",95,797,"45,574","336,995",55,915,"70,683","410,015"
461221078,4621078,46,12,21,78,"Division No. 21, Unorganized",145,840,"54,627","363,322",95,797,"45,574","336,995",55,915,"70,683","410,015"
470000000,4700000,47,0,0,0,Saskatchewan,"56,995","1,152","98,673","523,470","41,025","1,055","86,656","466,078","15,970","1,400","129,548","670,927"
470001000,4701000,47,0,1,0,Division No.  1,"2,960","1,147","103,792","537,811","2,150","1,033","86,920","470,064",815,"1,450","148,522","717,413"
470002000,4702000,47,0,2,0,Division No.  2,"2,985","1,377","99,710","558,881","2,210","1,278","89,451","502,660",775,"1,660","128,916","718,923"
470003000,4703000,47,0,3,0,Division No.  3,"2,955","1,458","99,045","565,613","2,180","1,326","88,123","505,003",775,"1,830","129,916","736,923"
470004000,4704000,47,0,4,0,Division No.  4,"2,015","2,480","119,615","716,155","1,410","2,178","95,972","602,933",605,"3,184","174,665","979,778"
470005000,4705000,47,0,5,0,Division No.  5,"3,580",951,"89,686","438,088","2,580",867,"76,922","394,696","1,000","1,170","122,675","550,239"
470006000,4706000,47,0,6,0,Division No.  6,"4,510",921,"94,863","533,101","3,135",857,"83,349","473,918","1,375","1,066","121,087","667,895"
470007000,4707000,47,0,7,0,Division No.  7,"3,160","1,417","105,192","559,316","2,300","1,306","96,333","501,009",860,"1,714","128,887","715,256"
470008000,4708000,47,0,8,0,Division No.  8,"3,395","1,572","116,501","675,762","2,345","1,407","102,396","594,054","1,050","1,941","148,031","858,416"
470009000,4709000,47,0,9,0,Division No.  9,"3,580",812,"65,658","356,191","2,670",751,"57,309","321,953",905,994,"90,309","457,277"
470010000,4710000,47,0,10,0,Division No. 10,"2,875",964,"107,714","480,385","2,135",877,"103,283","438,860",740,"1,217","120,591","601,066"
470011000,4711000,47,0,11,0,Division No. 11,"3,945","1,018","104,082","514,222","2,710",998,"90,117","479,137","1,235","1,062","134,677","591,085"
470012000,4712000,47,0,12,0,Division No. 12,"2,775","1,213","124,204","597,589","1,900","1,129","116,877","538,899",880,"1,395","140,026","724,327"
470013000,4713000,47,0,13,0,Division No. 13,"3,025","1,378","120,652","664,580","2,230","1,275","105,335","590,207",795,"1,665","163,565","872,937"
470014000,4714000,47,0,14,0,Division No. 14,"4,300",834,"84,677","419,667","3,155",762,"72,924","370,377","1,145","1,034","117,015","555,288"
470015000,4715000,47,0,15,0,Division No. 15,"5,055",776,"91,831","471,947","3,690",703,"79,276","418,954","1,365",974,"125,822","615,413"
470016000,4716000,47,0,16,0,Division No. 16,"3,225","1,070","84,368","456,732","2,380","1,007","73,422","410,052",845,"1,247","115,220","588,309"
470017000,4717000,47,0,17,0,Division No. 17,"2,655","1,233","91,509","530,656","1,845","1,137","81,126","473,759",815,"1,449","115,034","659,567"
471000000,4700000,47,10,0,0,Agricultural Region 1A - Région agricole 1A,"2,335","1,189","105,502","571,060","1,700","1,088","91,324","506,882",635,"1,458","143,318","742,232"
471001001,4701001,47,10,1,1,Argyle No. 1,130,"1,023","97,867","440,541",95,870,"79,820","355,346",35,"1,436","146,701","671,068"
471001006,4701006,47,10,1,6,Mount Pleasant No. 2,155,"1,262","144,473","603,789",120,"1,165","123,761","543,675",35,"1,577","212,204","800,380"
471001011,4701011,47,10,1,11,Enniskillen No. 3,170,"1,259","110,400","622,365",115,"1,106","99,538","543,064",50,"1,588","133,734","792,715"
471001016,4701016,47,10,1,16,Coalfields No. 4,130,"1,371","79,854","521,798",90,"1,396","73,150","497,236",40,"1,311","96,523","582,870"
471001022,4701022,47,10,1,22,Estevan No. 5,190,"1,038","71,456","548,840",130,947,"61,304","496,765",55,"1,245","94,608","667,606"
471001027,4701027,47,10,1,27,Benson No. 35,165,"1,204","96,806","619,829",130,"1,043","78,572","539,929",35,"1,840","169,190","937,007"
471001031,4701031,47,10,1,31,Browning No. 34,185,"1,183","113,881","602,998",140,999,"90,600","494,714",50,"1,700","179,449","907,960"
471001036,4701036,47,10,1,36,Moose Creek No. 33,150,"1,219","104,708","588,814",110,"1,135","92,051","519,679",40,"1,452","139,832","780,661"
471001039,4701039,47,10,1,39,Reciprocity No. 32,160,960,"106,725","522,265",110,921,"101,633","498,642",45,"1,049","118,501","576,892"
471001043,4701043,47,10,1,43,Storthoaks No. 31,115,"1,436","154,754","661,422",80,"1,355","136,262","585,555",35,"1,624","197,548","837,000"
471001047,4701047,47,10,1,47,Antler No. 61,185,"1,053","109,096","520,988",125,852,"84,177","402,755",60,"1,498","164,181","782,344"
471001053,4701053,47,10,1,53,Moose Mountain No. 63,190,978,"91,071","488,702",150,918,"82,605","461,431",45,"1,168","117,942","575,260"
471001058,4701058,47,10,1,58,Brock No. 64,130,"1,188","88,901","501,843",100,"1,135","80,936","471,153",30,"1,339","111,390","588,496"
471001063,4701063,47,10,1,63,Tecumseh No. 65,165,"1,249","91,590","520,684",125,"1,123","71,292","452,857",40,"1,661","158,359","743,800"
471002001,4702001,47,10,2,1,Cambria No. 6,125,"1,678","140,692","867,523",85,"1,735","143,559","843,101",35,"1,553","134,429","920,865"
471100000,4700000,47,11,0,0,Agricultural Region 1B - Région agricole 1B,"2,255","1,068","101,356","473,975","1,580",947,"82,873","417,876",680,"1,351","144,557","605,095"
471101069,4701069,47,11,1,69,Golden West No. 95,145,"1,170","94,161","441,082",115,"1,111","87,738","427,399",25,"1,458","125,470","507,788"
471101072,4701072,47,11,1,72,Hazelwood No. 94,130,"1,053","80,337","456,096",100,917,"66,564","389,350",30,"1,498","125,332","674,135"
471101076,4701076,47,11,1,76,Wawken No. 93,170,943,"90,209","455,561",110,789,"69,889","370,459",55,"1,247","130,124","622,726"
471101091,4701091,47,11,1,91,Walpole No. 92,160,"1,196","135,540","557,529",110,965,"83,440","414,685",50,"1,735","257,106","890,832"
471101094,4701094,47,11,1,94,Maryfield No. 91,150,"1,163","117,075","516,776",100,"1,051","101,155","454,269",55,"1,365","145,673","629,058"
471105001,4705001,47,11,5,1,Moosomin No. 121,145,914,"103,978","514,046",100,791,"82,436","459,947",45,"1,195","153,429","638,227"
471105007,4705007,47,11,5,7,Martin No. 122,120,953,"91,572","380,155",85,947,"87,585","381,352",40,966,"100,491","377,478"
471105011,4705011,47,11,5,11,Silverwood No. 123,165,"1,219","109,912","534,179",100,967,"71,191","439,189",60,"1,628","172,991","688,920"
471105014,4705014,47,11,5,14,Kingsley No. 124,170,"1,088","100,925","470,321",115,839,"71,023","369,680",60,"1,575","159,181","666,398"
471105018,4705018,47,11,5,18,Chester No. 125,190,"1,076","94,861","438,910",140,973,"80,816","413,848",50,"1,350","132,314","505,742"
471105027,4705027,47,11,5,27,Wolseley No. 155,190,"1,044","97,580","483,963",145,953,"82,728","442,654",45,"1,334","144,776","615,235"
471105028,4705028,47,11,5,28,Elcapo No. 154,210,"1,061","98,313","496,326",155,933,"78,212","425,029",60,"1,399","150,992","683,172"
471105033,4705033,47,11,5,33,Willowdale No. 153,150,"1,011","79,481","386,744",105,923,"75,992","351,070",45,"1,221","87,806","471,875"
471105037,4705037,47,11,5,37,Rocanville No. 151,175,"1,043","118,817","472,115",110,"1,093","123,917","497,922",60,958,"110,052","427,759"
472000000,4700000,47,20,0,0,Agricultural Region 2A - Région agricole 2A,"1,785","1,266","99,908","567,244","1,315","1,154","88,368","502,225",470,"1,583","132,364","750,101"
472002033,4702033,47,20,2,33,Lomond No. 37,130,"1,571","111,283","592,574",105,"1,572","106,168","567,845",25,"1,570","134,860","706,540"
472002037,4702037,47,20,2,37,Cymri No. 36,175,"1,320","89,463","570,488",125,"1,173","79,899","497,935",45,"1,735","116,668","776,858"
472002042,4702042,47,20,2,42,Griffin No. 66,155,"1,186","105,815","548,245",120,"1,057","94,845","479,391",35,"1,642","144,857","793,284"
472002044,4702044,47,20,2,44,Weyburn No. 67,220,"1,106","101,037","602,771",155,901,"83,245","495,229",65,"1,582","142,284","852,073"
472002051,4702051,47,20,2,51,Brokenshell No. 68,125,"1,527","119,799","652,806",105,"1,461","111,754","617,429",25,"1,789","151,671","792,956"
472002052,4702052,47,20,2,52,Norton No. 69,145,"1,281","84,678","482,644",100,"1,124","72,949","397,451",50,"1,588","107,431","647,916"
472002061,4702061,47,20,2,61,Elmsthorpe No. 100,145,"1,365","105,225","531,439",105,"1,252","95,102","492,473",40,"1,663","132,052","634,699"
472002066,4702066,47,20,2,66,Caledonia No. 99,145,"1,394","107,207","612,751",105,"1,326","98,431","548,781",45,"1,557","127,950","763,951"
472002069,4702069,47,20,2,69,Scott No. 98,170,"1,177","121,012","734,009",125,"1,039","104,262","656,230",45,"1,550","166,165","943,672"
472002073,4702073,47,20,2,73,Wellington No. 97,180,"1,124","75,126","479,215",135,"1,060","64,271","412,765",45,"1,309","106,746","672,787"
472002076,4702076,47,20,2,76,Fillmore No. 96,195,"1,113","88,796","456,420",140,965,"72,856","395,975",50,"1,545","135,315","632,820"
472100000,4700000,47,21,0,0,Agricultural Region 2B - Région agricole 2B,"3,190",922,"104,714","573,882","2,220",872,"96,074","513,433",970,"1,035","124,416","711,739"
472106001,4706001,47,21,6,1,Montmartre No. 126,250,944,"83,217","441,571",185,848,"75,368","387,146",65,"1,227","106,265","601,392"
472106004,4706004,47,21,6,4,Francis No. 127,295,916,"113,891","513,374",210,829,"111,288","459,168",85,"1,126","120,174","644,216"
472106011,4706011,47,21,6,11,Lajord No. 128,220,"1,060","124,898","764,209",140,930,"103,749","622,773",85,"1,280","160,491","1,002,237"
472106013,4706013,47,21,6,13,Bratt's Lake No. 129,190,"1,057","119,412","762,075",135,970,"108,677","686,998",55,"1,274","146,248","949,769"
472106016,4706016,47,21,6,16,Redburn No. 130,165,"1,199","137,857","752,745",120,"1,097","122,037","658,546",40,"1,493","183,110","1,022,198"
472106021,4706021,47,21,6,21,Pense No. 160,205,"1,019","130,219","683,616",140,997,"112,701","632,326",60,"1,069","170,624","801,913"
472106026,4706026,47,21,6,26,Sherwood No. 159,245,788,"105,202","751,093",155,661,"79,638","601,990",95,"1,001","148,184","1,001,782"
472106029,4706029,47,21,6,29,Edenwold No. 158,405,609,"63,352","431,405",270,593,"59,421","405,150",140,640,"70,987","482,395"
472106034,4706034,47,21,6,34,South Qu'Appelle No. 157,315,718,"79,555","465,490",200,693,"68,496","431,012",120,759,"97,925","522,758"
472106038,4706038,47,21,6,38,Indian Head No. 156,165,975,"106,516","501,753",120,933,"96,556","467,065",45,"1,083","132,501","592,244"
472107001,4707001,47,21,7,1,Baildon No. 131,180,"1,180","101,179","549,748",130,"1,167","100,298","520,469",50,"1,215","103,617","630,876"
472107036,4707036,47,21,7,36,Caron No. 162,135,"1,098","95,918","550,787",105,"1,107","93,452","523,710",30,"1,064","104,548","645,557"
472107038,4707038,47,21,7,38,Moose Jaw No. 161,260,854,"148,626","534,358",185,819,"146,807","482,042",70,942,"153,187","665,506"
472107042,4707042,47,21,7,42,Marquis No. 191,165,"1,138","101,784","570,088",130,"1,089","99,378","531,595",35,"1,301","109,825","698,736"
473000000,4700000,47,30,0,0,Agricultural Region 3AN - Région agricole 3AN,"1,445","1,482","95,375","548,350","1,075","1,394","87,741","510,828",365,"1,740","117,881","658,967"
473003068,4703068,47,30,3,68,Gravelbourg No. 104,190,"1,232","99,840","625,611",135,"1,133","93,359","574,440",50,"1,497","117,120","762,067"
473003074,4703074,47,30,3,74,Sutton No. 103,155,"1,126","86,058","503,654",115,"1,017","75,943","467,793",35,"1,465","117,495","615,115"
473003093,4703093,47,30,3,93,Lake Johnston No. 102,115,"1,328","102,769","643,725",90,"1,283","96,359","622,725",25,"1,489","125,843","719,326"
473003096,4703096,47,30,3,96,Terrell No. 101,145,"1,311","74,198","390,592",115,"1,258","72,749","387,098",30,"1,517","79,890","404,326"
473007004,4707004,47,30,7,4,Hillsborough No. 132,45,"1,627","66,209","424,875",35,"1,344","52,901","380,752",10,"2,619","112,786","579,307"
473007006,4707006,47,30,7,6,Rodgers No. 133,100,"1,852","121,693","596,163",80,"1,906","124,849","605,994",15,"1,586","106,285","548,161"
473007011,4707011,47,30,7,11,Shamrock No. 134,130,"1,532","108,802","565,034",95,"1,388","92,348","476,196",35,"1,935","154,776","813,255"
473007029,4707029,47,30,7,29,Chaplin No. 164,90,"2,231","78,043","609,652",65,"2,233","70,623","550,339",25,"2,225","99,013","777,274"
473007032,4707032,47,30,7,32,Wheatlands No. 163,100,"1,578","74,778","448,987",75,"1,486","69,677","433,456",30,"1,807","87,441","487,547"
473007047,4707047,47,30,7,47,Eyebrow No. 193,150,"1,434","103,663","550,434",105,"1,384","102,187","545,676",40,"1,556","107,267","562,053"
473007053,4707053,47,30,7,53,Enfield No. 194,155,"1,421","93,177","553,257",115,"1,284","80,081","503,845",45,"1,787","128,202","685,404"
473007071,4707071,47,30,7,71,Maple Bush No. 224,80,"1,911","126,185","625,784",50,"1,705","106,347","518,658",25,"2,357","169,035","857,177"
473100000,4700000,47,31,0,0,Agricultural Region 3AS - Région agricole 3AS,"2,600","1,474","95,820","528,373","1,915","1,350","85,385","469,525",685,"1,822","125,104","693,526"
473102006,4702006,47,31,2,6,Souris Valley No. 7,155,"1,307","118,363","582,359",125,"1,233","108,614","521,821",25,"1,623","160,383","843,300"
473102011,4702011,47,31,2,11,Lake Alma No. 8,120,"1,478","78,248","512,391",100,"1,404","73,650","505,755",25,"1,783","97,214","539,768"
473102014,4702014,47,31,2,14,Surprise Valley No. 9,105,"2,081","103,606","556,958",80,"1,696","93,300","468,113",30,"3,194","133,380","813,619"
473102018,4702018,47,31,2,18,Happy Valley No. 10,70,"2,269","107,279","501,864",55,"2,293","112,698","510,938",10,"2,128","75,312","448,328"
473102024,4702024,47,31,2,24,Bengough No. 40,160,"1,545","76,436","454,423",125,"1,527","72,041","440,244",35,"1,603","90,547","499,944"
473102026,4702026,47,31,2,26,The Gap No. 39,130,"1,498","94,007","529,007",95,"1,334","78,707","454,933",30,"1,959","137,207","738,158"
473102029,4702029,47,31,2,29,Laurier No. 38,150,"1,480","114,064","552,721",105,"1,432","96,255","507,283",50,"1,583","151,909","649,276"
473102057,4702057,47,31,2,57,Key West No. 70,185,"1,199","77,201","426,239",125,"1,084","64,816","372,078",60,"1,445","103,651","541,905"
473103001,4703001,47,31,3,1,Hart Butte No. 11,120,"1,538","102,392","525,436",90,"1,459","86,572","492,394",30,"1,776","149,851","624,561"
473103006,4703006,47,31,3,6,Poplar Valley No. 12,115,"1,579","104,105","551,103",85,"1,546","95,507","498,159",30,"1,670","127,895","697,581"
473103011,4703011,47,31,3,11,Old Post No. 43,205,"1,969","97,765","549,086",145,"1,767","86,179","469,684",60,"2,447","125,117","736,525"
473103022,4703022,47,31,3,22,Waverley No. 44,145,"1,816","85,314","570,382",100,"1,444","72,910","439,994",50,"2,553","109,870","828,495"
473103026,4703026,47,31,3,26,Willow Bunch No. 42,190,"1,302","94,603","504,596",135,"1,160","84,924","428,782",60,"1,631","116,965","679,755"
473103029,4703029,47,31,3,29,Excel No. 71,185,"1,341","102,191","496,887",145,"1,238","79,514","399,791",40,"1,733","188,250","865,352"
473103034,4703034,47,31,3,34,Lake of the Rivers No. 72,160,"1,220","97,826","581,797",115,"1,069","85,658","509,736",40,"1,626","130,368","774,521"
473103038,4703038,47,31,3,38,Stonehenge No. 73,245,"1,034","88,422","530,963",190,960,"82,589","474,515",55,"1,287","108,213","722,486"
473103042,4703042,47,31,3,42,Wood River No. 74,155,"1,327","102,886","582,299",105,"1,211","98,222","559,693",45,"1,590","113,404","633,282"
473200000,4700000,47,32,0,0,Agricultural Region 3BN - Région agricole 3BN,"2,775","1,378","104,009","593,958","1,910","1,219","91,592","515,613",865,"1,727","131,380","766,661"
473207014,4707014,47,32,7,14,Lawtonia No. 135,160,"1,306","98,924","537,949",110,"1,141","78,613","496,245",55,"1,656","141,890","626,168"
473207018,4707018,47,32,7,18,Coulee No. 136,200,"1,073","73,012","508,107",145,881,"56,867","418,729",60,"1,542","112,417","726,250"
473207021,4707021,47,32,7,21,Excelsior No. 166,280,"1,092","99,131","512,987",195,981,"92,240","459,541",85,"1,344","114,777","634,341"
473207024,4707024,47,32,7,24,Morse No. 165,230,"1,419","74,826","445,229",180,"1,137","65,998","380,401",55,"2,366","104,475","662,951"
473207058,4707058,47,32,7,58,Canaan No. 225,90,"1,346","119,967","563,102",70,"1,264","109,523","501,381",20,"1,599","152,251","753,875"
473207063,4707063,47,32,7,63,Victory No. 226,135,"2,578","141,966","764,368",85,"2,701","142,315","733,504",50,"2,371","141,386","815,808"
473207066,4707066,47,32,7,66,King George No. 256,105,"1,607","99,905","612,729",65,"1,193","69,340","437,444",40,"2,307","151,632","909,365"
473207067,4707067,47,32,7,67,Coteau No. 255,150,"1,323","112,862","571,142",115,"1,213","103,909","491,074",35,"1,673","141,462","826,916"
473208001,4708001,47,32,8,1,Swift Current No. 137,340,940,"86,246","506,071",230,871,"81,311","455,082",110,"1,085","96,658","613,662"
473208006,4708006,47,32,8,6,Webb No. 138,160,"1,559","124,099","623,524",115,"1,519","130,378","605,992",45,"1,658","108,537","666,973"
473208031,4708031,47,32,8,31,Riverside No. 168,210,"1,523","107,602","643,627",140,"1,423","93,438","583,929",75,"1,721","135,539","761,367"
473208038,4708038,47,32,8,38,Saskatchewan Landing No. 167,155,"1,201","104,757","622,158",95,"1,001","84,813","540,003",55,"1,562","140,656","770,038"
473208042,4708042,47,32,8,42,Lacadena No. 228,325,"1,408","110,434","649,544",220,"1,113","95,903","561,929",110,"1,992","139,230","823,165"
473208092,4708092,47,32,8,92,Monet No. 257,230,"1,700","137,242","842,722",145,"1,579","110,397","669,298",75,"1,931","188,524","1,174,005"
