AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NHENEGG,HENEGG,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NEGGS,EGGS,NNOCHCK,NOCHCK,NNOTURK,NOTURK,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCOWMLK,COWMLK,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NOTHLIV,NBEES,BEES
470010066,47,0,10,66,4710066,- Lakeview No. 337,213,44,"2,824",13,377,28,679,28,"1,768",0,0,6,x,9,72,17,"4,143",15,846,3,x,62,"2,880",45,56,60,"1,373",13,x,58,x,44,293,0,0,38,199,12,94,15,59,57,"1,099",11,19,20,"2,185",8,19,12,317,19,"1,849",10,724,9,792,10,333,0,0,0,0,0,0,0,0,24,73,1,x,3,x,0,0,1,x,4,0,0
470010071,47,0,10,71,4710071,- Sasman No. 336,304,50,"5,069",18,928,28,"1,027",38,"3,114",0,0,19,x,10,104,20,"3,204",21,x,2,x,115,"5,176",78,132,104,"2,210",13,33,102,"2,177",72,607,2,x,60,x,28,207,37,255,105,"1,972",12,18,25,"2,212",5,16,11,229,22,"1,967",9,733,14,569,8,665,12,332,4,7,11,137,10,188,49,234,2,x,4,10,0,0,0,0,2,1,x
470011000,47,0,11,0,4711000,- Division No. 11,"4,040",589,"434,524",201,"35,361",332,"146,145",432,"253,018",2,x,172,"82,330",161,"30,554",275,"3,061,574",291,"1,521,123",111,"203,904","1,470","112,580",998,"2,574","1,330","44,262",257,"7,424","1,195","36,838","1,044","14,606",156,"3,503",827,"7,588",321,"3,515",503,"14,208","1,314","36,930",250,"5,808",307,"71,801",126,476,154,"7,500",297,"63,825",179,"22,795",196,"21,020",121,"20,010",98,"6,050",49,107,86,"2,877",91,"3,066",650,"3,191",83,477,79,"3,317",0,0,3,9,47,30,"4,479"
470011003,47,0,11,3,4711003,- Last Mountain Valley No. 250,219,31,"2,445",11,511,23,653,21,"1,281",0,0,11,90,10,147,16,x,8,665,5,x,67,"3,550",48,123,65,"1,503",7,31,63,"1,472",44,421,2,x,42,x,9,100,19,130,63,"1,373",5,9,5,"2,487",3,18,3,291,5,"2,178",4,659,4,774,3,745,4,345,3,7,4,206,3,132,18,71,3,6,3,14,0,0,0,0,2,0,0
470011006,47,0,11,6,4711006,- Big Arm No. 251,129,20,"2,371",6,406,9,473,17,"1,492",0,0,9,x,4,42,6,x,13,"1,338",8,x,35,"2,614",32,73,34,"1,120",5,8,33,"1,112",27,280,0,0,27,191,10,89,19,162,33,979,5,7,12,x,2,x,4,x,11,878,5,574,7,186,5,118,0,0,0,0,0,0,0,0,14,69,1,x,3,8,0,0,0,0,3,0,0
470011011,47,0,11,11,4711011,- Arm River No. 252,136,19,"2,180",8,633,12,x,12,x,0,0,4,68,6,65,8,"1,500",11,"1,145",5,80,45,"3,062",31,91,39,"1,282",1,x,39,x,29,378,0,0,26,293,10,85,20,193,37,"1,118",1,x,12,332,3,x,2,x,12,303,3,x,10,224,1,x,2,x,1,x,2,x,2,x,19,104,0,0,1,x,0,0,0,0,0,0,0
470011016,47,0,11,16,4711016,- Willner No. 253,152,23,"2,330",6,437,9,235,20,"1,658",0,0,5,56,5,61,10,"4,563",11,"1,025",1,x,54,"3,373",30,68,48,"1,438",4,5,48,"1,433",37,445,0,0,28,259,18,186,16,117,51,"1,305",3,3,15,668,3,6,4,40,15,622,6,220,10,224,6,178,4,48,1,x,2,x,4,x,38,150,1,x,1,x,0,0,0,0,0,0,0
470011018,47,0,11,18,4711018,- Loreburn No. 254,232,15,913,5,x,11,x,9,x,0,0,6,83,8,107,6,892,10,615,6,75,49,"3,117",30,52,48,"1,421",7,14,47,"1,407",35,338,1,x,28,x,12,80,16,113,43,"1,193",5,10,5,x,1,x,3,x,4,x,3,x,3,240,2,x,5,539,4,12,5,237,5,290,21,82,4,16,2,x,0,0,0,0,3,1,x
470011026,47,0,11,26,4711026,- Rudy No. 284,192,26,"3,317",14,350,18,415,20,"2,552",0,0,7,178,7,251,17,"4,742",16,"1,610",1,x,78,"5,627",54,121,66,"2,132",7,148,62,"1,984",61,"1,058",3,x,50,x,19,480,27,546,67,"1,770",7,126,6,"2,020",3,7,4,244,5,"1,769",3,x,3,x,1,x,9,"2,044",7,20,9,941,7,"1,083",38,170,7,34,2,x,0,0,0,0,2,0,0
470011031,47,0,11,31,4711031,- Rosedale No. 283,208,37,"12,586",7,462,14,"10,029",30,"2,095",0,0,8,93,8,x,9,x,14,"2,867",5,40,87,"5,539",61,99,79,"2,510",10,151,77,"2,359",52,486,2,x,46,x,14,83,37,204,76,"2,240",7,101,15,"4,324",5,31,8,448,15,"3,845",8,"1,592",12,"1,063",5,"1,190",2,x,2,x,2,x,2,x,36,149,3,14,1,x,0,0,0,0,2,0,0
470011034,47,0,11,34,4711034,- McCraney No. 282,203,28,"3,506",11,"1,351",17,775,16,"1,380",0,0,5,x,7,95,17,x,12,"1,942",1,x,79,"4,764",54,138,71,"2,146",11,34,68,"2,112",51,323,1,x,44,x,11,47,25,324,69,"1,833",9,21,25,"2,627",10,17,13,229,23,"2,381",13,679,17,"1,184",11,518,2,x,0,0,2,x,2,x,27,99,2,x,5,x,0,0,0,0,1,0,0
470011039,47,0,11,39,4711039,- Wood Creek No. 281,145,17,"1,325",2,x,8,x,13,x,0,0,3,29,3,25,5,x,11,"1,027",6,x,58,"4,836",46,139,57,"2,145",1,x,57,x,40,394,0,0,37,295,15,99,21,272,54,"1,886",1,x,13,"1,119",2,x,3,x,13,"1,034",6,392,9,360,4,282,1,x,0,0,0,0,1,x,19,65,2,x,2,x,0,0,0,0,0,0,0
470011042,47,0,11,42,4711042,- Wreford No. 280,125,13,"1,422",1,x,5,x,11,x,0,0,4,109,1,x,1,x,9,560,1,x,42,"3,878",32,118,36,"1,622",3,4,36,"1,618",26,349,0,0,24,182,9,167,14,235,38,"1,554",3,4,5,"1,740",2,x,3,x,5,x,4,x,2,x,1,x,3,93,0,0,3,46,3,47,17,145,3,18,2,x,0,0,0,0,1,1,x
470011046,47,0,11,46,4711046,- Usborne No. 310,152,22,"57,250",7,x,14,x,15,x,0,0,3,x,5,181,14,x,17,x,6,x,77,"6,929",55,142,70,"2,826",11,380,65,"2,446",55,971,9,255,45,379,26,337,23,580,70,"2,410",13,308,21,"4,056",11,28,13,396,21,"3,632",13,"1,201",16,"1,376",14,"1,055",5,311,2,x,5,x,4,194,26,109,2,x,4,8,0,0,2,x,3,1,x
470011052,47,0,11,52,4711052,- Morris No. 312,203,19,"3,487",11,806,9,294,14,"2,387",0,0,2,x,5,x,9,x,6,x,1,x,56,"3,380",38,94,49,"1,415",8,292,44,"1,123",39,519,4,132,34,252,12,135,21,176,48,"1,176",8,228,8,x,2,x,2,x,7,62,3,15,4,47,0,0,4,x,2,x,3,x,4,x,19,91,7,26,3,x,0,0,0,0,3,1,x
470011059,47,0,11,59,4711059,- Lost River No. 313,134,10,674,4,124,7,x,6,x,0,0,2,x,1,x,7,"10,624",3,x,2,x,28,"2,073",19,x,27,986,2,x,27,x,21,210,1,x,19,x,8,26,5,x,25,777,2,x,7,797,2,x,2,x,7,x,5,x,1,x,3,x,1,x,0,0,0,0,1,x,17,51,1,x,0,0,0,0,0,0,0,2,x
470011061,47,0,11,61,4711061,- Dundurn No. 314,105,18,"7,406",9,"2,075",13,"3,712",12,"1,619",0,0,3,27,5,x,12,x,9,"4,620",4,x,64,"7,996",47,194,60,"3,443",5,151,60,"3,292",52,913,3,128,49,718,11,67,17,271,62,"3,175",5,97,5,"1,900",2,x,3,x,5,x,2,x,4,x,3,x,1,x,1,x,1,x,1,x,31,130,2,x,0,0,0,0,0,0,4,1,x
470011065,47,0,11,65,4711065,- Corman Park No. 344,955,158,"307,395",50,"25,340",88,"70,176",114,"211,879",2,x,56,"65,709",52,"23,645",73,"1,507,694",79,"1,385,982",37,"179,139",395,"28,805",248,533,346,"11,136",145,"5,972",242,"5,164",299,"5,201",116,"2,733",175,"1,764",64,704,119,"4,196",346,"7,739",145,"4,716",81,"22,265",35,144,43,"2,444",77,"19,677",55,"7,754",42,"5,718",29,"6,205",40,"1,725",18,45,35,865,38,815,217,"1,347",33,181,31,337,0,0,0,0,17,16,x
470011069,47,0,11,69,4711069,- Blucher No. 343,213,35,"15,107",5,321,16,844,26,"13,942",0,0,13,197,9,813,14,"5,205",15,x,9,174,53,"3,552",36,111,48,"1,441",4,27,47,"1,414",32,446,2,x,28,x,12,173,11,249,50,"1,305",4,6,9,587,2,x,2,x,9,x,3,x,6,x,1,x,4,138,2,x,4,x,4,71,24,65,3,17,7,159,0,0,0,0,1,5,x
470011076,47,0,11,76,4711076,- Colonsay No. 342,155,19,"1,664",6,x,10,x,15,"1,116",0,0,9,83,4,28,11,"1,432",11,975,4,x,36,"1,779",24,72,34,698,2,x,33,x,25,180,1,x,23,x,7,25,21,222,33,607,5,25,2,x,2,x,2,x,2,x,2,x,2,x,2,x,1,x,1,x,1,x,1,x,5,13,2,x,2,x,0,0,0,0,0,1,x
470011091,47,0,11,91,4711091,- Viscount No. 341,186,40,"4,089",18,630,26,610,31,"2,849",0,0,10,151,5,28,22,"7,861",16,"1,550",2,x,83,"12,499",56,x,78,"2,963",10,88,76,"2,875",51,903,5,81,42,454,24,368,34,x,77,"2,666",8,62,26,"5,909",15,38,16,600,26,"5,271",18,"1,791",19,"1,812",11,"1,668",7,371,5,8,6,211,6,152,32,122,3,7,6,x,0,0,1,x,3,0,0
470011096,47,0,11,96,4711096,- Wolverine No. 340,196,39,"5,057",20,"1,132",23,"1,144",30,"2,781",0,0,12,149,16,457,18,"19,668",20,"2,257",7,112,84,"5,207",57,157,75,"2,035",14,101,71,"1,934",68,791,6,52,60,475,30,264,38,400,72,"1,824",14,74,35,"18,884",21,114,24,"1,761",35,"17,009",23,"5,030",25,"5,718",19,"6,261",3,22,0,0,2,x,3,x,32,159,4,20,4,x,0,0,0,0,2,1,x
470012000,47,0,12,0,4712000,- Division No. 12,"2,875",405,"347,910",144,"50,501",233,"78,997",295,"218,412",1,x,146,x,107,"6,574",200,"1,852,672",215,"908,257",107,x,"1,169","106,059",860,"2,432","1,071","40,292",96,"1,804","1,034","38,488",826,"12,933",36,780,729,"7,923",237,"4,230",368,"14,133","1,065","36,269",94,"1,277",219,"60,335",105,385,134,"5,664",209,"54,286",130,"18,818",132,"19,338",93,"16,130",82,"5,152",44,99,75,"2,306",70,"2,747",496,"2,188",48,435,68,"1,419",3,27,1,x,29,16,"1,616"
470012001,47,0,12,1,4712001,- Pleasant Valley No. 288,150,17,"1,444",7,x,11,x,13,775,0,0,4,73,1,x,10,"4,267",8,348,2,x,47,"5,658",33,x,46,"1,570",0,0,46,"1,570",28,"1,050",0,0,27,536,9,514,12,x,46,"1,418",0,0,7,962,5,10,5,126,7,826,5,379,6,327,3,120,3,x,0,0,3,16,2,x,11,29,3,9,8,107,0,0,0,0,3,0,0
470012004,47,0,12,4,4712004,- St. Andrews No. 287,218,24,"4,380",5,500,8,"2,522",19,"1,358",0,0,9,319,8,113,6,x,13,"1,310",4,x,23,"1,849",18,x,21,781,3,x,19,x,18,220,2,x,14,x,5,21,4,x,21,756,3,x,20,"3,816",9,26,11,423,20,"3,367",9,"1,176",15,"1,203",11,988,3,23,1,x,2,x,2,x,21,57,1,x,0,0,0,0,0,0,2,1,x
470012011,47,0,12,11,4712011,- Milden No. 286,163,12,"3,143",3,619,6,619,9,"1,905",0,0,6,219,6,113,5,"9,470",6,x,3,127,29,"1,755",19,x,25,683,0,0,25,683,18,x,0,0,18,148,3,x,11,x,25,643,0,0,7,x,4,6,5,x,7,x,4,180,4,97,3,x,3,x,0,0,2,x,3,x,12,50,0,0,4,134,1,x,0,0,1,0,0
470012020,47,0,12,20,4712020,- Fertile Valley No. 285,244,26,"21,738",13,"6,645",20,"11,659",19,"3,434",0,0,11,315,10,83,18,x,13,x,6,412,90,"5,487",60,152,82,"2,437",5,x,78,x,58,643,2,x,51,x,18,136,30,177,79,"2,078",4,x,10,x,6,x,6,985,10,x,7,"3,507",6,x,4,x,7,"1,153",4,20,6,503,7,630,20,65,2,x,1,x,0,0,0,0,2,2,x
470012026,47,0,12,26,4712026,- Montrose No. 315,160,37,"87,870",9,"3,467",22,"8,449",23,"75,954",1,x,10,156,7,117,19,"149,229",21,"677,707",6,47,89,"8,448",62,323,82,"3,197",13,233,75,"2,964",68,"1,293",6,102,57,848,21,343,36,626,83,"3,009",12,173,15,"4,394",8,30,9,338,14,"4,026",10,"1,316",9,"1,250",12,"1,460",12,"1,074",8,23,12,508,11,543,39,147,5,54,4,x,0,0,0,0,2,2,x
470012029,47,0,12,29,4712029,- Harris No. 316,128,15,"1,146",3,70,6,224,13,852,0,0,3,x,2,x,6,"2,565",4,215,4,168,54,"9,980",43,x,49,"2,993",4,9,48,"2,984",40,x,1,x,35,x,9,x,16,x,51,"2,711",3,3,5,646,1,x,2,x,5,x,2,x,3,x,3,213,1,x,1,x,1,x,1,x,15,106,2,x,3,x,0,0,0,0,0,0,0
470012034,47,0,12,34,4712034,- Marriott No. 317,165,21,"14,747",5,x,7,x,19,x,0,0,9,248,5,x,6,x,11,508,11,x,67,"5,843",54,145,64,"2,534",3,154,64,"2,380",52,738,3,x,47,x,14,194,19,191,62,"2,235",3,125,16,"5,254",8,19,8,420,15,"4,815",7,"1,321",10,"1,577",8,"1,917",1,x,1,x,1,x,1,x,22,72,1,x,5,18,0,0,0,0,1,0,0
470012038,47,0,12,38,4712038,- Mountain View No. 318,168,20,"1,460",7,x,8,x,16,x,0,0,7,100,5,40,5,"1,058",9,388,4,x,44,"2,830",33,65,40,"1,302",3,4,39,"1,298",29,225,0,0,23,120,10,105,16,151,38,"1,087",4,7,11,"1,103",5,13,7,153,11,937,9,274,5,173,4,490,2,x,1,x,2,x,2,x,15,61,0,0,3,13,0,0,0,0,1,0,0
470012042,47,0,12,42,4712042,- Biggar No. 347,283,37,"4,899",16,"1,036",27,"1,595",25,"2,268",0,0,18,x,12,"1,054",20,"17,527",18,"2,245",13,x,154,"16,953",121,321,138,"6,189",11,133,135,"6,056",106,"1,755",2,x,92,x,33,594,48,"3,053",138,"5,635",11,73,23,"9,616",11,52,12,836,23,"8,728",14,"2,966",15,"3,153",9,"2,609",4,965,3,11,4,420,4,534,43,185,5,40,6,64,0,0,0,0,3,1,x
470012050,47,0,12,50,4712050,- Perdue No. 346,162,23,"12,672",6,x,8,x,19,"3,172",0,0,15,429,9,x,8,x,11,"6,200",8,169,55,"5,704",40,168,49,"1,745",3,x,49,x,47,"1,264",2,x,45,x,11,671,11,859,49,"1,668",2,x,12,"3,834",8,23,9,330,12,"3,481",8,"1,462",7,"1,406",6,613,6,265,5,5,6,114,5,146,21,151,4,9,4,20,0,0,0,0,5,2,x
470012054,47,0,12,54,4712054,- Vanscoy No. 345,319,52,"177,024",16,x,26,x,41,"117,651",0,0,20,324,11,149,23,x,31,x,15,198,143,"11,865",91,251,117,"3,791",24,794,102,"2,997",104,"1,618",15,420,84,724,30,474,56,"2,824",125,"3,381",19,588,28,"3,404",8,26,17,356,25,"3,022",16,"1,073",15,918,8,"1,031",20,"1,100",12,23,18,452,19,625,96,381,10,42,13,88,1,x,1,x,2,5,x
470012064,47,0,12,64,4712064,- Eagle Creek No. 376,186,31,"6,722",14,"2,207",26,"3,489",16,"1,026",0,0,6,x,11,"1,499",19,"57,774",15,x,6,50,78,"7,046",63,151,74,"3,047",6,136,72,"2,911",55,780,2,x,48,x,16,230,31,389,69,"2,679",7,85,12,"12,114",7,73,8,"1,145",12,"10,896",9,"3,668",6,"3,728",8,"3,500",5,135,3,5,5,67,3,63,36,224,4,30,4,12,1,x,0,0,1,1,x
470012069,47,0,12,69,4712069,- Glenside No. 377,125,24,"1,529",6,240,13,351,19,938,0,0,6,x,3,63,11,x,14,738,6,82,71,"4,968",56,137,66,"2,280",4,4,65,"2,276",46,398,0,0,43,337,9,61,22,133,65,"2,020",6,6,11,239,3,x,6,x,9,x,5,x,5,43,2,x,3,3,0,0,1,x,2,x,42,164,2,x,4,12,0,0,0,0,2,0,0
470012072,47,0,12,72,4712072,- Rosemount No. 378,77,14,"1,640",7,311,11,431,8,898,0,0,3,x,2,x,10,x,12,"1,015",4,68,44,"3,858",36,66,43,"1,666",5,13,43,"1,653",30,331,1,x,30,x,7,51,9,180,44,"1,615",7,14,9,900,2,x,2,x,9,x,3,x,7,748,2,x,3,x,2,x,3,x,2,x,15,48,2,x,1,x,0,0,0,0,1,0,0
470012076,47,0,12,76,4712076,- Prairie No. 408,176,29,"2,702",12,446,21,567,20,"1,689",0,0,9,x,9,86,21,"7,533",18,"1,465",10,105,113,"8,051",85,186,111,"3,640",9,12,111,"3,628",75,806,0,0,70,647,24,159,30,225,106,"3,194",10,12,15,713,10,11,12,116,14,586,9,336,9,167,3,83,7,83,2,x,7,55,4,x,55,260,4,72,6,37,0,0,0,0,1,1,x
470012078,47,0,12,78,4712078,- Battle River No. 438,151,23,"4,794",15,"1,274",13,595,16,"2,925",0,0,10,238,6,812,13,x,11,"1,484",5,128,68,"5,764",46,129,64,"2,437",3,x,63,x,52,713,0,0,45,449,18,264,17,345,64,"2,140",3,x,18,"2,073",10,17,15,236,16,"1,820",13,777,10,681,7,362,2,x,1,x,2,x,2,x,33,188,3,x,2,x,0,0,0,0,2,1,x
470013000,47,0,13,0,4713000,- Division No. 13,"3,211",420,"179,720",185,"33,350",261,"61,174",314,"85,196",2,x,124,x,76,"13,655",211,"951,116",198,"332,508",78,x,"1,297","130,148",983,"3,007","1,201","55,201",125,"1,761","1,172","53,440",868,"13,845",40,486,747,"8,894",274,"4,465",399,"8,595","1,185","49,500",109,"1,415",299,"52,732",154,390,179,"5,653",289,"46,689",180,"15,814",181,"16,851",142,"14,024",61,"1,852",28,51,54,891,52,910,548,"2,302",40,158,58,540,1,x,1,x,27,11,"1,020"
470013006,47,0,13,6,4713006,- Kindersley No. 290,391,29,"2,796",7,380,14,633,21,"1,783",0,0,7,71,10,169,11,"5,764",15,"1,539",5,82,76,"5,942",54,182,67,"2,666",2,x,66,x,39,554,0,0,35,429,14,125,25,195,65,"2,345",0,0,16,"1,130",6,12,6,108,16,"1,010",9,201,9,474,6,335,5,259,3,7,4,89,5,163,53,207,4,8,7,100,0,0,0,0,4,2,x
470013011,47,0,13,11,4713011,- Milton No. 292,129,7,x,2,x,4,x,6,680,0,0,3,130,3,x,2,x,3,180,0,0,39,"3,447",29,118,35,"1,615",2,x,35,x,25,286,1,x,21,x,6,14,6,24,35,"1,404",2,x,9,803,7,9,7,119,9,675,6,284,3,x,5,x,2,x,1,x,2,x,2,x,23,69,3,14,2,x,0,0,0,0,1,0,0
470013016,47,0,13,16,4713016,- Antelope Park No. 322,75,9,x,2,x,8,x,4,380,0,0,2,x,2,x,6,x,4,285,3,55,45,"4,774",36,142,43,"2,324",2,x,43,x,24,253,0,0,22,212,5,41,6,99,41,"1,956",3,4,8,"1,952",7,16,8,256,7,"1,680",7,685,4,495,4,500,2,x,2,x,2,x,2,x,20,75,2,x,2,x,0,0,0,0,5,0,0
470013019,47,0,13,19,4713019,- Prairiedale No. 321,88,8,x,3,x,3,x,6,"1,700",0,0,2,x,2,x,5,x,5,470,4,x,34,"4,641",25,92,30,"2,150",1,x,29,x,21,284,1,x,13,x,12,47,11,170,31,"1,945",1,x,7,x,6,66,6,x,7,x,5,x,5,x,3,x,3,21,1,x,3,x,2,x,9,64,3,6,1,x,0,0,0,0,1,0,0
470013024,47,0,13,24,4713024,- Oakdale No. 320,134,11,"1,153",4,125,4,108,10,920,0,0,5,85,1,x,3,"1,145",4,270,4,x,29,"1,909",13,45,26,936,4,11,26,925,16,89,1,x,13,x,4,8,7,15,26,824,4,8,3,x,2,x,2,x,3,x,3,x,1,x,2,x,1,x,0,0,1,x,0,0,16,147,0,0,2,x,0,0,0,0,0,1,x
470013028,47,0,13,28,4713028,- Winslow No. 319,195,13,x,8,201,7,x,11,711,0,0,3,63,0,0,7,970,7,445,1,x,28,"1,835",22,56,27,835,5,7,26,828,21,170,2,x,16,x,6,38,8,57,23,717,3,3,7,787,2,x,5,x,5,657,4,x,3,x,0,0,0,0,0,0,0,0,0,0,13,31,0,0,1,x,0,0,0,0,0,0,0
470013032,47,0,13,32,4713032,- Grandview No. 349,144,30,"3,433",12,354,17,557,23,"2,522",0,0,6,x,5,x,13,"2,540",11,742,5,48,63,"5,193",49,118,60,"2,098",8,142,58,"1,956",42,349,2,x,36,x,16,63,22,828,59,"1,800",8,99,22,"4,208",12,31,12,576,21,"3,601",11,"1,056",17,"1,094",12,"1,451",4,92,3,4,4,40,4,48,27,60,2,x,4,x,0,0,0,0,2,0,0
470013038,47,0,13,38,4713038,- Mariposa No. 350,121,25,"57,392",9,"17,425",15,"24,883",16,"15,084",2,x,3,x,4,x,13,"249,122",9,x,1,x,58,"4,507",32,116,53,"1,902",4,12,52,"1,890",45,580,1,x,40,x,15,93,19,152,51,"1,757",1,x,9,"2,040",7,18,8,284,9,"1,738",8,766,5,697,3,275,2,x,0,0,2,x,2,x,16,81,3,12,4,48,0,0,0,0,2,0,0
470013041,47,0,13,41,4713041,- Progress No. 351,174,18,"1,612",14,544,11,250,14,818,0,0,7,178,6,126,10,"2,065",9,481,5,92,69,"5,331",47,118,65,"2,166",5,5,64,"2,161",37,569,1,x,30,x,17,349,13,563,63,"1,915",1,x,14,"2,473",4,7,6,188,13,"2,278",7,692,8,"1,084",5,502,1,x,0,0,1,x,1,x,21,147,0,0,1,x,0,0,0,0,1,1,x
470013046,47,0,13,46,4713046,- Heart's Hill No. 352,139,27,"2,602",16,482,25,552,16,"1,568",0,0,6,x,1,x,18,"2,788",12,"1,345",2,x,77,"11,167",63,195,74,"4,763",8,96,72,"4,667",50,"1,018",1,x,43,x,21,327,20,714,74,"4,477",9,73,20,"2,616",11,18,13,271,20,"2,327",15,717,14,"1,026",11,584,5,66,2,x,4,x,4,33,23,92,0,0,1,x,0,0,0,0,0,0,0
470013049,47,0,13,49,4713049,- Eye Hill No. 382,207,46,"11,612",26,"1,734",38,"6,768",32,"3,110",0,0,6,x,3,167,29,"166,962",22,"2,540",4,21,110,"11,505",88,269,103,"5,010",19,403,98,"4,607",64,"1,169",9,103,51,541,20,525,39,712,100,"4,345",19,313,43,"6,134",24,59,30,724,41,"5,351",28,"1,917",22,"1,913",23,"1,521",3,x,1,x,1,x,3,22,47,274,6,18,6,52,0,0,0,0,0,1,x
470013056,47,0,13,56,4713056,- Grass Lake No. 381,205,34,"6,614",12,653,23,"2,612",25,"3,349",0,0,10,x,5,192,16,"48,963",14,"2,815",7,49,87,"5,145",69,115,81,"2,205",13,21,80,"2,184",60,480,3,3,54,374,15,103,34,339,83,"2,006",13,18,34,"4,810",16,31,21,361,34,"4,418",24,982,21,"2,078",16,"1,358",5,105,3,4,5,55,4,46,33,127,3,22,3,33,0,0,0,0,1,1,x
470013059,47,0,13,59,4713059,- Tramping Lake No. 380,140,15,"9,256",9,325,11,"6,438",10,"2,493",0,0,4,x,6,x,9,x,6,710,4,30,28,"1,808",21,30,25,710,7,159,23,551,23,214,2,x,18,x,8,55,11,273,26,581,7,140,8,"3,156",7,19,6,311,8,"2,826",4,x,6,905,5,x,2,x,1,x,2,x,2,x,11,43,0,0,2,x,1,x,0,0,0,0,0
470013064,47,0,13,64,4713064,- Reford No. 379,170,26,"2,895",13,465,13,357,24,"2,073",0,0,7,x,4,18,11,"4,159",14,"1,097",3,33,65,"2,852",35,51,54,"1,266",3,9,53,"1,257",45,322,2,x,35,x,17,128,18,156,59,"1,057",4,6,15,"1,032",5,10,6,152,14,870,8,474,8,320,6,76,4,37,1,x,3,x,2,x,19,65,1,x,1,x,0,0,0,0,0,0,0
470013068,47,0,13,68,4713068,- Buffalo No. 409,180,27,"2,708",11,448,14,856,23,"1,404",0,0,14,x,4,x,13,"11,353",12,835,8,107,71,"3,730",52,80,62,"1,673",7,104,59,"1,569",48,386,2,x,43,x,19,86,29,110,61,"1,481",6,104,18,"1,054",8,14,9,103,17,937,7,218,12,362,6,357,6,x,1,x,4,x,4,x,30,95,2,x,6,10,0,0,1,x,1,2,x
470013072,47,0,13,72,4713072,- Round Valley No. 410,162,16,"9,082",7,"1,170",8,141,12,"7,771",0,0,7,373,3,x,6,955,7,x,4,x,78,"8,252",67,196,74,"3,742",6,89,74,"3,653",53,609,1,x,47,x,15,100,24,302,73,"3,403",4,x,17,"2,719",11,27,13,320,16,"2,372",11,790,10,772,9,810,2,x,1,x,2,x,1,x,35,231,2,x,2,x,0,0,0,0,1,2,x
470013076,47,0,13,76,4713076,- Senlac No. 411,116,13,"1,221",6,179,11,467,8,575,0,0,2,x,2,x,10,"1,996",6,390,0,0,68,"10,890",60,231,63,"4,336",6,70,63,"4,266",49,"1,337",1,x,45,x,15,153,20,933,61,"4,053",3,x,11,689,7,10,8,130,11,549,9,442,3,35,6,72,2,x,2,x,2,x,2,x,28,104,2,x,2,x,0,0,0,0,2,0,0
470013079,47,0,13,79,4713079,- Manitou Lake No. 442,154,33,"3,996",9,702,18,x,26,x,0,0,11,167,7,111,16,"6,271",20,"1,873",6,41,104,"15,902",86,333,101,"6,316",7,269,98,"6,047",84,"2,332",5,107,76,"1,399",16,826,24,"1,101",98,"5,820",7,201,16,"1,767",5,x,5,x,16,x,5,x,12,x,9,x,6,178,3,7,6,85,6,86,49,159,4,19,6,23,0,0,0,0,2,0,0
470013092,47,0,13,92,4713092,- Hillsdale No. 440,167,19,"38,184",8,297,12,x,16,x,0,0,12,156,5,29,9,x,12,x,8,92,106,"13,195",84,296,101,"5,539",11,266,96,"5,273",78,"1,248",4,x,67,x,21,395,35,"1,169",99,"4,943",9,199,16,"2,920",6,18,6,296,16,"2,606",6,"1,091",14,812,10,703,1,x,1,x,1,x,1,x,43,122,2,x,5,x,0,0,0,0,1,1,x
470013096,47,0,13,96,4713096,- Cut Knife No. 439,120,14,"1,197",7,280,5,168,11,749,0,0,7,141,3,9,4,"2,422",6,882,4,142,62,"8,123",51,224,57,"2,949",5,x,57,x,44,"1,596",1,x,42,x,12,989,28,683,57,"2,671",5,x,6,352,1,x,2,x,6,x,3,x,4,x,1,x,5,124,2,x,5,75,5,x,32,109,1,x,0,0,0,0,0,0,3,0,0
470014000,47,0,14,0,4714000,- Division No. 14,"4,495",548,"147,282",165,"9,912",315,"25,689",378,"111,681",0,0,162,"2,786",102,"2,163",260,"399,358",267,"497,972",95,"1,581","1,396","90,308",976,"1,955","1,284","37,494",176,"1,780","1,223","35,714",975,"11,107",52,697,860,"7,248",241,"3,162",458,"6,548","1,248","33,204",162,"1,282",410,"54,806",204,448,260,"6,385",386,"47,973",238,"18,658",242,"16,693",158,"12,622",89,"6,026",62,133,85,"2,943",70,"2,950",535,"2,759",99,621,54,"2,360",1,x,4,x,56,67,"40,452"
