HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NTOTCORN,TOTCORN,ETOTCRN,NCORNGR,CORNGR,ECORNGR,NCORNSI,CORNSI,ECORNSI,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCANOLA,CANOLA,ECANOLA,NSOYBNS,SOYBNS,ESOYBNS,NFLAXSD,FLAXSD,EFLAXSD,NDFPEAS,DFPEAS,EDFPEAS,NCHICPEA,CHICPEA,ECHICPEA,NLENTIL,LENTIL,ELENTIL,NWHITBN,WHITBN,EWHITBN,NODFBNS,ODFBNS,EODFBNS,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFORAGE,FORAGE,EFORAGE,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NGINSENG,GINSENG,EGINSENG,NBUCWHT,BUCWHT,EBUCWHT,NSUGARB,SUGARB,ESUGARB,NCARAWAY,CARAWAY,ECARAWAY,NTRITCL,TRITCL,ETRITCL,NOFIELD,OFIELD,EOFIELD
47,10,1,22,Estevan No. 5,154,68,"38,574","15,610",63,"30,948","12,524",19,x,x,2,x,x,28,"4,138","1,675",35,"8,357","3,382",0,0,0,2,x,x,1,x,x,1,x,x,5,540,219,5,540,219,0,0,0,30,"14,025","5,676",0,0,0,45,"14,976","6,061",15,"5,494","2,223",1,x,x,2,x,x,0,0,0,0,0,0,70,"22,723","9,196",20,"3,217","1,302",1,x,x,0,0,0,4,730,295,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,10,1,27,Benson No. 35,114,77,"40,860","16,535",70,"28,860","11,679",25,"10,920","4,419",4,"1,080",437,19,"3,182","1,288",17,"5,028","2,035",0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,47,"21,228","8,591",1,x,x,46,"12,762","5,165",18,"7,619","3,083",1,x,x,4,"1,269",514,0,0,0,0,0,0,34,"3,876","1,569",5,"1,513",612,0,0,0,0,0,0,10,"4,764","1,928",0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,10,1,31,Browning No. 34,123,76,"48,042","19,442",67,"35,384","14,319",22,"7,958","3,220",11,"4,700","1,902",38,"9,948","4,026",43,"13,562","5,488",1,x,x,4,301,122,0,0,0,4,301,122,5,"3,420","1,384",5,"3,420","1,384",0,0,0,51,"25,705","10,402",1,x,x,35,"9,632","3,898",35,"12,505","5,061",0,0,0,13,"3,277","1,326",0,0,0,1,x,x,40,"8,353","3,380",16,"3,160","1,279",0,0,0,0,0,0,4,788,319,0,0,0,7,"1,515",613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,10,1,36,Moose Creek No. 33,129,77,"28,461","11,518",72,"26,445","10,702",4,"1,476",597,3,540,219,63,"15,040","6,086",47,"11,483","4,647",1,x,x,2,x,x,1,x,x,1,x,x,7,951,385,7,951,385,0,0,0,41,"16,531","6,690",0,0,0,34,"7,489","3,031",9,"2,572","1,041",0,0,0,3,"2,071",838,0,0,0,1,x,x,65,"16,188","6,551",34,"7,190","2,910",1,x,x,0,0,0,1,x,x,0,0,0,5,"3,446","1,395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,972,393
47,10,1,39,Reciprocity No. 32,120,68,"30,675","12,414",66,"27,703","11,211",6,"1,677",679,5,"1,295",524,40,"7,600","3,076",38,"9,725","3,936",1,x,x,3,90,36,1,x,x,3,x,x,7,"2,225",900,7,"2,225",900,0,0,0,51,"17,524","7,092",1,x,x,51,"13,649","5,524",14,"4,087","1,654",0,0,0,3,408,165,0,0,0,2,x,x,56,"9,905","4,008",18,"2,110",854,0,0,0,0,0,0,0,0,0,0,0,0,5,"1,025",415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,10,1,43,Storthoaks No. 31,91,56,"36,569","14,799",52,"33,852","13,699",4,915,370,10,"1,802",729,33,"5,690","2,303",41,"12,609","5,103",2,x,x,1,x,x,1,x,x,0,0,0,7,"1,540",623,7,"1,540",623,0,0,0,46,"19,818","8,020",2,x,x,47,"12,299","4,977",16,"4,114","1,665",0,0,0,1,x,x,0,0,0,1,x,x,37,"6,872","2,781",13,"2,615","1,058",1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,10,1,47,Antler No. 61,144,85,"36,474","14,761",77,"34,259","13,864",1,x,x,14,x,x,55,"8,708","3,524",70,"18,087","7,320",1,x,x,3,565,229,1,x,x,2,x,x,13,"1,775",718,10,"1,562",632,3,213,86,75,"29,153","11,798",0,0,0,55,"16,793","6,796",24,"4,680","1,894",0,0,0,0,0,0,0,0,0,0,0,0,59,"9,507","3,847",27,"3,707","1,500",1,x,x,0,0,0,1,x,x,0,0,0,4,735,297,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,3,545,221
47,10,1,53,Moose Mountain No. 63,161,58,"19,000","7,689",57,x,x,1,x,x,1,x,x,61,"9,788","3,961",62,"13,407","5,426",3,386,156,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,46,"15,747","6,373",0,0,0,49,"14,161","5,731",10,"4,097","1,658",0,0,0,3,"1,735",702,0,0,0,1,x,x,87,"18,826","7,619",41,"6,333","2,563",2,x,x,0,0,0,2,x,x,1,x,x,5,"1,415",573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"1,233",499
47,10,1,58,Brock No. 64,108,33,"30,943","12,522",31,"21,485","8,695",10,"9,458","3,828",0,0,0,45,"8,185","3,312",28,"9,711","3,930",4,"1,272",515,1,x,x,0,0,0,1,x,x,4,385,156,3,x,x,1,x,x,20,"13,568","5,491",1,x,x,16,"7,688","3,111",16,"9,632","3,898",2,x,x,5,"1,970",797,0,0,0,0,0,0,60,"16,294","6,594",29,"11,117","4,499",1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x
47,10,1,63,Tecumseh No. 65,127,64,"39,191","15,860",60,x,x,13,"9,010","3,646",1,x,x,49,"7,847","3,176",47,"12,216","4,944",1,x,x,1,x,x,0,0,0,1,x,x,6,990,401,4,x,x,2,x,x,31,"19,867","8,040",0,0,0,35,"6,581","2,663",17,"6,112","2,473",0,0,0,5,"3,409","1,380",0,0,0,1,x,x,51,"11,189","4,528",17,"1,843",746,2,x,x,0,0,0,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,11,1,69,Golden West No. 95,106,59,"31,794","12,867",55,"28,619","11,582",10,x,x,2,x,x,45,"7,587","3,070",35,"7,108","2,877",0,0,0,1,x,x,0,0,0,1,x,x,7,"1,035",419,7,"1,035",419,0,0,0,38,"13,526","5,474",0,0,0,38,"9,688","3,921",31,"7,786","3,151",0,0,0,1,x,x,0,0,0,0,0,0,57,"10,941","4,428",18,"3,720","1,505",2,x,x,0,0,0,3,424,172,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,1,72,Hazelwood No. 94,88,36,"10,320","4,176",34,x,x,1,x,x,1,x,x,53,"11,153","4,513",20,"3,904","1,580",1,x,x,0,0,0,0,0,0,0,0,0,5,x,x,5,x,x,0,0,0,14,"3,177","1,286",0,0,0,24,"3,901","1,579",8,"1,917",776,0,0,0,1,x,x,0,0,0,0,0,0,60,"14,299","5,787",19,"3,549","1,436",1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,11,1,76,Wawken No. 93,127,51,"15,386","6,226",49,x,x,1,x,x,4,595,241,74,"14,388","5,823",46,"8,891","3,598",5,"1,045",423,2,x,x,0,0,0,2,x,x,3,x,x,2,x,x,1,x,x,31,"6,887","2,787",0,0,0,19,"3,862","1,563",2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,71,"15,620","6,321",30,"3,538","1,432",2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
47,11,1,91,Walpole No. 92,114,58,"29,125","11,786",53,"24,329","9,846",4,"1,770",716,10,"3,026","1,225",53,"8,484","3,433",48,"12,685","5,133",2,x,x,4,660,267,0,0,0,4,660,267,7,"1,133",459,6,x,x,1,x,x,42,"15,964","6,460",0,0,0,45,"12,743","5,157",6,"2,385",965,0,0,0,0,0,0,0,0,0,0,0,0,60,"13,542","5,480",27,"4,793","1,940",0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,1,94,Maryfield No. 91,110,58,"25,643","10,377",55,"23,924","9,682",2,x,x,5,x,x,49,"7,157","2,896",55,"13,953","5,647",1,x,x,2,x,x,0,0,0,2,x,x,3,780,316,3,780,316,0,0,0,55,"20,317","8,222",0,0,0,40,"11,833","4,789",8,x,x,0,0,0,0,0,0,0,0,0,0,0,0,53,"9,809","3,970",31,"4,724","1,912",0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,2,0,Division No.  2,"2,255","1,489","958,407","387,854","1,084","479,556","194,069",920,x,x,42,x,x,618,"104,077","42,118",485,"102,589","41,516",27,"7,474","3,025",18,787,318,2,x,x,16,x,x,46,"7,333","2,968",43,"6,038","2,443",4,"1,295",524,416,"186,596","75,513",4,579,234,775,"230,333","93,212",424,"133,982","54,221",118,"45,707","18,497",307,"118,631","48,008",2,x,x,4,540,219,974,"247,543","100,177",339,"60,245","24,380",16,"2,869","1,161",6,158,64,90,"28,620","11,582",11,"5,656","2,289",77,"26,386","10,678",0,0,0,0,0,0,3,36,15,0,0,0,0,0,0,4,x,x,34,"7,121","2,882"
47,10,2,1,Cambria No. 6,81,57,"66,213","26,795",47,"32,811","13,278",32,x,x,2,x,x,15,"3,358","1,359",13,"2,216",897,1,x,x,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,30,"26,095","10,560",0,0,0,39,"15,867","6,421",24,"8,386","3,394",3,"1,010",409,24,"13,320","5,390",1,x,x,2,x,x,29,"5,586","2,261",5,"1,061",429,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x
47,31,2,6,Souris Valley No. 7,105,84,"76,684","31,033",54,x,x,66,"43,048","17,421",1,x,x,15,"3,150","1,275",10,"1,957",792,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,38,"16,719","6,766",0,0,0,35,"12,120","4,905",29,"10,970","4,439",18,"10,613","4,295",38,"17,792","7,200",0,0,0,0,0,0,41,"9,763","3,951",12,"1,780",720,1,x,x,0,0,0,10,"2,257",913,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,31,2,11,Lake Alma No. 8,92,56,"24,281","9,826",33,x,x,39,"13,661","5,528",1,x,x,28,"3,849","1,558",8,918,372,0,0,0,0,0,0,0,0,0,0,0,0,3,280,113,3,280,113,0,0,0,11,"2,441",988,0,0,0,37,"7,981","3,230",17,"3,278","1,327",5,"1,525",617,13,"3,011","1,219",0,0,0,0,0,0,60,"16,906","6,842",13,"1,771",717,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,470,190
47,31,2,14,Surprise Valley No. 9,89,50,"28,405","11,495",29,"10,945","4,429",37,"17,010","6,884",3,450,182,38,"6,342","2,567",14,"1,896",767,6,"1,200",486,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,25,"4,272","1,729",15,"4,285","1,734",8,"2,795","1,131",10,"2,773","1,122",0,0,0,0,0,0,58,"19,704","7,974",13,"1,818",736,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
47,31,2,18,Happy Valley No. 10,58,32,"16,375","6,627",21,x,x,13,"7,850","3,177",1,x,x,21,"4,342","1,757",13,"1,564",633,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,2,x,x,7,"3,980","1,611",13,"5,625","2,276",2,x,x,0,0,0,1,x,x,29,"9,295","3,762",12,"3,499","1,416",0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x
47,31,2,24,Bengough No. 40,144,84,"34,548","13,981",53,"16,014","6,481",52,"16,716","6,765",5,"1,818",736,61,"8,487","3,435",31,"5,032","2,036",2,x,x,1,x,x,0,0,0,1,x,x,3,340,138,3,340,138,0,0,0,5,"1,363",552,0,0,0,8,x,x,28,"10,650","4,310",10,"3,014","1,220",7,x,x,0,0,0,0,0,0,79,"22,821","9,235",20,"4,114","1,665",1,x,x,0,0,0,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,31,2,26,The Gap No. 39,109,72,"46,298","18,736",42,x,x,59,"33,182","13,428",1,x,x,29,"3,099","1,254",28,"5,561","2,250",0,0,0,0,0,0,0,0,0,0,0,0,3,350,142,1,x,x,2,x,x,11,"3,175","1,285",1,x,x,33,"8,388","3,395",37,"13,717","5,551",3,685,277,15,"3,057","1,237",0,0,0,0,0,0,53,"13,921","5,634",22,"3,700","1,497",0,0,0,1,x,x,9,"2,735","1,107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,995,403
47,31,2,29,Laurier No. 38,107,73,"60,679","24,556",49,"22,178","8,975",54,"37,986","15,372",4,515,208,25,"2,624","1,062",21,"3,923","1,588",1,x,x,3,68,28,0,0,0,3,68,28,0,0,0,0,0,0,0,0,0,17,"6,685","2,705",0,0,0,46,"13,390","5,419",26,"7,282","2,947",4,"1,350",546,8,"1,680",680,0,0,0,0,0,0,56,"12,421","5,027",16,"3,491","1,413",2,x,x,2,x,x,7,"2,608","1,055",1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,710,287
47,20,2,33,Lomond No. 37,102,67,"46,115","18,662",54,"30,764","12,450",44,x,x,2,x,x,26,"4,787","1,937",29,"5,908","2,391",1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,28,"9,962","4,031",0,0,0,41,"10,582","4,282",19,"5,646","2,285",4,"1,284",520,6,"1,510",611,0,0,0,0,0,0,56,"10,935","4,425",20,"3,830","1,550",1,x,x,0,0,0,5,"2,345",949,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,20,2,37,Cymri No. 36,117,72,"47,320","19,150",62,"30,869","12,492",34,x,x,1,x,x,38,"5,613","2,272",27,"5,733","2,320",2,x,x,3,90,36,0,0,0,3,90,36,5,"1,472",596,5,x,x,1,x,x,37,"16,029","6,487",0,0,0,48,"14,509","5,872",8,"3,486","1,411",0,0,0,4,"1,644",665,0,0,0,0,0,0,51,"17,411","7,046",16,"1,828",740,1,x,x,1,x,x,7,"4,475","1,811",0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
47,20,2,42,Griffin No. 66,121,79,"45,384","18,366",67,"28,813","11,660",36,"15,491","6,269",6,"1,080",437,40,"7,027","2,844",36,"9,776","3,956",1,x,x,0,0,0,0,0,0,0,0,0,7,"1,460",591,6,x,x,1,x,x,34,"14,019","5,673",1,x,x,55,"16,696","6,757",24,"6,130","2,481",2,x,x,5,"1,560",631,0,0,0,0,0,0,39,"8,576","3,471",18,"3,497","1,415",3,x,x,0,0,0,7,"3,050","1,234",1,x,x,9,"3,815","1,544",0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x
47,20,2,44,Weyburn No. 67,197,115,"50,780","20,550",94,"30,803","12,466",51,x,x,1,x,x,52,"7,257","2,937",42,"8,689","3,516",1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,45,"18,930","7,661",2,x,x,66,"17,802","7,204",18,"3,244","1,313",2,x,x,21,"7,190","2,910",0,0,0,0,0,0,80,"15,543","6,290",33,"4,606","1,864",3,705,285,0,0,0,13,"2,584","1,046",0,0,0,6,"1,193",483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,20,2,51,Brokenshell No. 68,100,53,"41,364","16,739",39,"20,593","8,334",40,x,x,1,x,x,19,"6,229","2,521",11,"2,528","1,023",3,720,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"4,664","1,887",0,0,0,31,"13,306","5,385",8,"2,552","1,033",3,"1,284",520,8,"3,825","1,548",0,0,0,0,0,0,54,"13,786","5,579",20,"5,187","2,099",0,0,0,1,x,x,4,"1,805",730,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,20,2,52,Norton No. 69,116,83,"42,631","17,252",69,"23,099","9,348",49,x,x,1,x,x,39,"5,490","2,222",28,"4,644","1,879",2,x,x,3,135,55,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,14,"4,675","1,892",0,0,0,48,"11,294","4,571",16,"4,067","1,646",5,"1,360",550,9,"2,220",898,0,0,0,0,0,0,54,"13,709","5,548",11,"2,217",897,0,0,0,0,0,0,8,"1,930",781,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
47,31,2,57,Key West No. 70,146,99,"57,322","23,197",74,"30,402","12,303",63,"26,060","10,546",6,860,348,22,"2,889","1,169",24,"3,042","1,231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"11,015","4,458",0,0,0,21,"3,276","1,326",32,"10,049","4,067",9,"2,592","1,049",7,"3,099","1,254",0,0,0,0,0,0,50,"9,920","4,014",24,"3,551","1,437",1,x,x,0,0,0,5,895,362,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,20,2,61,Elmsthorpe No. 100,103,75,"50,357","20,379",40,"13,905","5,627",57,x,x,1,x,x,19,"2,018",817,16,"3,570","1,445",0,0,0,0,0,0,0,0,0,0,0,0,3,712,288,3,712,288,0,0,0,18,"7,058","2,856",0,0,0,27,"5,451","2,206",26,"9,302","3,764",8,"3,190","1,291",20,"8,123","3,287",0,0,0,0,0,0,44,"14,340","5,803",15,"1,430",579,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
47,20,2,66,Caledonia No. 99,101,78,"64,848","26,243",62,"29,336","11,872",60,"35,512","14,371",0,0,0,24,"4,755","1,924",41,"13,252","5,363",2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,6,"2,000",809,0,0,0,28,"10,618","4,297",31,"10,057","4,070",10,"4,160","1,683",36,"17,995","7,282",1,x,x,0,0,0,25,"8,157","3,301",9,"1,325",536,0,0,0,0,0,0,1,x,x,0,0,0,11,"2,371",960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,20,2,69,Scott No. 98,107,94,"81,747","33,082",56,"40,902","16,552",75,x,x,2,x,x,18,"3,541","1,433",20,"5,475","2,216",1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,23,"17,547","7,101",0,0,0,65,"24,760","10,020",24,"7,541","3,052",7,"2,730","1,105",43,"18,867","7,635",0,0,0,1,x,x,14,"3,094","1,252",11,"3,047","1,233",0,0,0,0,0,0,1,x,x,0,0,0,19,"6,526","2,641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,727,294
47,20,2,73,Wellington No. 97,121,80,"43,963","17,791",66,"28,029","11,343",34,x,x,1,x,x,33,"5,352","2,166",25,"5,686","2,301",0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,24,"10,673","4,319",0,0,0,53,"16,366","6,623",11,"3,723","1,507",3,x,x,18,"5,820","2,355",0,0,0,0,0,0,48,"8,354","3,381",14,"2,623","1,061",0,0,0,0,0,0,4,"1,520",615,0,0,0,13,"7,750","3,136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
47,20,2,76,Fillmore No. 96,139,86,"33,093","13,392",73,"25,241","10,215",25,x,x,2,x,x,56,"13,868","5,612",48,"11,219","4,540",2,x,x,2,x,x,0,0,0,2,x,x,12,"1,569",635,12,"1,569",635,0,0,0,36,"12,981","5,253",0,0,0,67,"22,095","8,942",24,"5,637","2,281",1,x,x,13,"3,802","1,539",0,0,0,0,0,0,54,"13,301","5,383",35,"5,870","2,376",1,x,x,1,x,x,1,x,x,0,0,0,8,"2,526","1,022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,3,0,Division No.  3,"2,240","1,570","1,078,399","436,413","1,239","597,156","241,660","1,022","461,163","186,626",53,"20,080","8,126",456,"74,785","30,264",571,"138,390","56,004",29,"5,252","2,125",13,"1,009",408,2,x,x,11,x,x,67,"10,674","4,320",59,"9,747","3,944",8,927,375,160,"54,756","22,159",1,x,x,297,"63,510","25,702",754,"302,093","122,253",212,"62,318","25,219",341,"110,054","44,537",4,998,404,3,x,x,997,"303,462","122,807",309,"99,133","40,118",17,"3,406","1,378",4,x,x,125,"35,633","14,420",4,331,134,29,"6,243","2,526",0,0,0,0,0,0,3,300,121,0,0,0,1,x,x,47,"7,096","2,872",22,"4,573","1,851"
47,31,3,1,Hart Butte No. 11,107,67,"38,726","15,672",48,"18,839","7,624",44,"19,887","8,048",0,0,0,31,"6,885","2,786",26,"5,737","2,322",3,315,127,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,9,"3,100","1,255",1,x,x,14,"2,817","1,140",55,"20,608","8,340",14,"3,087","1,249",7,"1,900",769,0,0,0,1,x,x,42,"11,741","4,751",14,"2,125",860,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0
47,31,3,6,Poplar Valley No. 12,93,51,"29,142","11,793",34,"15,271","6,180",30,x,x,1,x,x,12,"1,489",603,16,"6,556","2,653",2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,6,"2,925","1,184",0,0,0,10,"3,470","1,404",34,"13,429","5,435",13,"4,145","1,677",6,"1,621",656,0,0,0,0,0,0,43,"24,653","9,977",12,"3,755","1,520",1,x,x,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
47,31,3,11,Old Post No. 43,159,75,"39,368","15,932",59,"26,732","10,818",36,x,x,1,x,x,32,"4,999","2,023",26,"6,365","2,576",1,x,x,3,88,36,0,0,0,3,88,36,5,"1,008",408,4,x,x,1,x,x,2,x,x,0,0,0,21,"3,716","1,504",29,"8,607","3,483",4,640,259,13,"3,720","1,505",0,0,0,1,x,x,90,"48,409","19,590",33,"30,098","12,180",0,0,0,1,x,x,8,"2,893","1,171",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"2,620","1,060",3,"1,000",405
47,33,3,16,Glen McPherson No. 46,50,28,"17,098","6,919",18,"6,537","2,645",17,"10,561","4,274",0,0,0,21,"4,631","1,874",18,"3,871","1,567",0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,8,"3,218","1,302",3,"1,290",522,3,425,172,0,0,0,0,0,0,23,"6,317","2,556",6,"2,588","1,047",0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,33,3,18,Mankota No. 45,138,74,"61,129","24,738",55,"31,680","12,820",48,x,x,1,x,x,62,"11,719","4,743",38,"10,459","4,233",1,x,x,1,x,x,1,x,x,0,0,0,13,"2,377",962,13,"2,377",962,0,0,0,3,890,360,0,0,0,5,"1,560",631,21,"13,095","5,299",7,"3,810","1,542",13,"4,141","1,676",0,0,0,0,0,0,86,"32,380","13,104",14,"3,480","1,408",1,x,x,0,0,0,8,"2,625","1,062",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x
47,31,3,22,Waverley No. 44,129,65,"40,476","16,380",56,"29,900","12,100",24,"8,647","3,499",4,"1,929",781,43,"7,182","2,906",21,"2,566","1,038",5,"1,567",634,1,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0,8,830,336,15,"5,240","2,121",5,"2,810","1,137",12,"2,484","1,005",0,0,0,0,0,0,72,"19,179","7,761",22,"5,471","2,214",1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"1,105",447,2,x,x
47,31,3,26,Willow Bunch No. 42,142,90,"61,729","24,981",77,"40,142","16,245",46,"18,311","7,410",6,"3,276","1,326",29,"3,240","1,311",27,"5,948","2,407",1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,6,"3,720","1,505",0,0,0,19,"5,115","2,070",49,"24,782","10,029",12,"3,540","1,433",25,"8,991","3,639",0,0,0,0,0,0,77,"22,440","9,081",20,"5,472","2,214",0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,4,985,399,0,0,0
47,31,3,29,Excel No. 71,146,119,"82,006","33,187",99,"41,676","16,866",87,"38,530","15,593",7,"1,800",728,30,"5,878","2,379",28,"7,865","3,183",2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,12,"4,922","1,992",0,0,0,21,"5,210","2,108",43,"15,078","6,102",20,"7,180","2,906",13,"4,541","1,838",0,0,0,0,0,0,45,"10,949","4,431",22,"7,109","2,877",1,x,x,1,x,x,7,"1,450",587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,160,65,0,0,0
47,31,3,34,Lake of the Rivers No. 72,116,96,"64,571","26,131",77,"31,582","12,781",70,"32,194","13,028",4,795,322,14,"1,451",587,24,"6,128","2,480",1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"3,931","1,591",0,0,0,30,"6,660","2,695",45,"15,375","6,222",11,"3,574","1,446",28,"9,575","3,875",1,x,x,0,0,0,34,"5,712","2,312",12,"1,340",542,1,x,x,0,0,0,3,313,127,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
